2026-03-18 16:42:45 | INFO    | __main__                       | GUI Agent 启动
2026-03-18 16:42:45 | INFO    | __main__                       | 任务: Send a email to 221240051@smail.nju.edu.cn notifying there is a meeting at 2026-3-18 14:00 using Gmail
2026-03-18 16:42:45 | INFO    | __main__                       | 设备: 默认
2026-03-18 16:42:45 | INFO    | __main__                       | Dry Run: False
2026-03-18 16:42:45 | INFO    | utils.llm_client               | LLMClient 初始化完成: model=gpt-5.2, api_base=https://api.poixe.com/v1
2026-03-18 16:42:45 | DEBUG   | Perception.dump_parser         | DumpParser 初始化完成
2026-03-18 16:42:45 | DEBUG   | Perception.context_builder     | ContextBuilder 初始化完成
2026-03-18 16:42:45 | INFO    | Perception.perception_manager  | PerceptionManager 初始化完成, CV 输出目录: /Users/bytedance/Desktop/Darlingxxx/GUI-Agent/data/cv_output
2026-03-18 16:42:45 | DEBUG   | Memory.memory_manager          | 短期记忆已初始化
2026-03-18 16:42:45 | INFO    | Memory.experience_store        | 经验库文件不存在，将创建新文件: /Users/bytedance/Desktop/Darlingxxx/GUI-Agent/data/memory/long_term.json
2026-03-18 16:42:45 | INFO    | Memory.memory_manager          | 记忆管理器初始化完成, 经验库路径: /Users/bytedance/Desktop/Darlingxxx/GUI-Agent/data/memory/long_term.json
2026-03-18 16:42:45 | INFO    | Planning.planner               | Planner 初始化完成
2026-03-18 16:42:45 | INFO    | Planning.oracle_pre            | OraclePre 初始化完成
2026-03-18 16:42:45 | INFO    | Planning.safety_interceptor    | SafetyInterceptor 初始化完成, 高风险关键词: 17 个
2026-03-18 16:42:45 | INFO    | Execution.action_executor      | ActionExecutor 初始化完成, serial='default'
2026-03-18 16:42:45 | INFO    | Execution.action_mapper        | ActionMapper 初始化完成
2026-03-18 16:42:45 | INFO    | Execution.oracle_runtime       | OracleRuntime 初始化完成: dead_loop_threshold=3, screen_var_threshold=10.0
2026-03-18 16:42:45 | INFO    | Evaluation.evaluator           | Evaluator 初始化完成
2026-03-18 16:42:45 | INFO    | Evaluation.replanner           | Replanner 初始化完成, 死胡同阈值=3
2026-03-18 16:42:45 | INFO    | agent_loop                     | AgentLoop 初始化完成, 最大步数=30
2026-03-18 16:42:45 | INFO    | agent_loop                     | ============================================================
2026-03-18 16:42:45 | INFO    | agent_loop                     | 开始执行任务: 'Send a email to 221240051@smail.nju.edu.cn notifying there is a meeting at 2026-3-18 14:00 using Gmail'
2026-03-18 16:42:45 | INFO    | agent_loop                     | ============================================================
2026-03-18 16:42:45 | INFO    | Memory.memory_manager          | 短期记忆已清空
2026-03-18 16:42:45 | DEBUG   | Execution.oracle_runtime       | 事中 Oracle 历史已重置
2026-03-18 16:42:45 | DEBUG   | Evaluation.replanner           | Replanner 状态已重置
2026-03-18 16:42:45 | DEBUG   | Execution.action_executor      | 执行 ADB 命令: adb shell wm size
2026-03-18 16:42:45 | INFO    | Execution.action_executor      | 设备屏幕分辨率: (1080, 2220)
2026-03-18 16:42:45 | INFO    | agent_loop                     | ========================================
2026-03-18 16:42:45 | INFO    | agent_loop                     | 第 1 步 (最大 30)
2026-03-18 16:42:45 | INFO    | agent_loop                     | ========================================
2026-03-18 16:42:45 | INFO    | agent_loop                     | [Step 1] 阶段1: 环境感知
2026-03-18 16:42:45 | INFO    | Execution.action_executor      | 截屏: /Users/bytedance/Desktop/Darlingxxx/GUI-Agent/data/screenshots/step_1_before.png
2026-03-18 16:42:45 | DEBUG   | Execution.action_executor      | 执行 ADB 命令: adb shell screencap -p /sdcard/step_1_before.png
2026-03-18 16:42:46 | DEBUG   | Execution.action_executor      | 执行 ADB 命令: adb pull /sdcard/step_1_before.png /Users/bytedance/Desktop/Darlingxxx/GUI-Agent/data/screenshots/step_1_before.png
2026-03-18 16:42:46 | DEBUG   | Execution.action_executor      | 执行 ADB 命令: adb shell rm /sdcard/step_1_before.png
2026-03-18 16:42:46 | INFO    | Execution.action_executor      | Dump UI: /Users/bytedance/Desktop/Darlingxxx/GUI-Agent/data/dumps/step_1.xml
2026-03-18 16:42:46 | DEBUG   | Execution.action_executor      | 执行 ADB 命令: adb shell uiautomator dump /sdcard/window_dump.xml
2026-03-18 16:42:48 | DEBUG   | Execution.action_executor      | 执行 ADB 命令: adb pull /sdcard/window_dump.xml /Users/bytedance/Desktop/Darlingxxx/GUI-Agent/data/dumps/step_1.xml
2026-03-18 16:42:48 | DEBUG   | Execution.action_executor      | 执行 ADB 命令: adb shell dumpsys activity activities
2026-03-18 16:42:48 | DEBUG   | Execution.action_executor      | 执行 ADB 命令: adb shell dumpsys window windows
2026-03-18 16:42:48 | INFO    | Perception.perception_manager  | 开始环境感知: screenshot=/Users/bytedance/Desktop/Darlingxxx/GUI-Agent/data/screenshots/step_1_before.png, dump=/Users/bytedance/Desktop/Darlingxxx/GUI-Agent/data/dumps/step_1.xml
2026-03-18 16:42:51 | INFO    | Perception.uied.detect_text.ocr | OCRDetector initialized successfully
2026-03-18 16:43:00 | DEBUG   | Perception.uied.detect_text.ocr | PaddleOCR page keys: ['input_path', 'page_index', 'doc_preprocessor_res', 'dt_polys', 'model_settings', 'text_det_params', 'text_type', 'text_rec_score_thresh', 'return_word_box', 'rec_texts', 'rec_scores', 'rec_polys', 'vis_fonts', 'textline_orientation_angles', 'rec_boxes']
2026-03-18 16:43:00 | DEBUG   | Perception.uied.detect_text.ocr | PaddleOCR counts: rec_texts=26, rec_scores=26, rec_polys=26
2026-03-18 16:43:00 | DEBUG   | Perception.uied.detect_text.ocr | PaddleOCR converted count: 26
2026-03-18 16:43:00 | DEBUG   | Perception.uied.detect_text.text_detection | After convert: 26
2026-03-18 16:43:00 | DEBUG   | Perception.uied.detect_text.text_detection | After merge: 26
2026-03-18 16:43:00 | DEBUG   | Perception.uied.detect_text.text_detection | After filter: 26
2026-03-18 16:43:00 | DEBUG   | Perception.uied.detect_text.text_detection | After sentence merge: 26
2026-03-18 16:43:00 | DEBUG   | Perception.uied.detect_text.text_detection | Final text[0]: '18'
2026-03-18 16:43:00 | DEBUG   | Perception.uied.detect_text.text_detection | Final text[1]: 'Photos'
2026-03-18 16:43:00 | DEBUG   | Perception.uied.detect_text.text_detection | Final text[2]: 'Clock'
2026-03-18 16:43:00 | DEBUG   | Perception.uied.detect_text.text_detection | Final text[3]: 'Contacts'
2026-03-18 16:43:00 | DEBUG   | Perception.uied.detect_text.text_detection | Final text[4]: 'Calendar'
2026-03-18 16:43:00 | INFO    | Perception.uied.detect_text.text_detection | Text detection completed in 12.570s, text_count=26
2026-03-18 16:43:00 | INFO    | Perception.perception_manager  | CV 检测完成: 检测到 28 个元素, resize_ratio=0.360
2026-03-18 16:43:00 | INFO    | Perception.dump_parser         | 解析 UI Dump: /Users/bytedance/Desktop/Darlingxxx/GUI-Agent/data/dumps/step_1.xml
2026-03-18 16:43:00 | INFO    | Perception.dump_parser         | Dump 解析完成, 提取 47 个控件
2026-03-18 16:43:00 | INFO    | Perception.perception_manager  | Dump 解析完成: 解析到 47 个控件
2026-03-18 16:43:00 | INFO    | Perception.context_builder     | 开始构建 UIState: CV元素=28, Dump控件=47
2026-03-18 16:43:00 | DEBUG   | Perception.context_builder     | CV[0] <-> Dump[com.google.android.apps.nexuslauncher:id/icon] 匹配成功, IoU=0.342
2026-03-18 16:43:00 | DEBUG   | Perception.context_builder     | CV[1] <-> Dump[com.google.android.apps.nexuslauncher:id/icon] 匹配成功, IoU=0.340
2026-03-18 16:43:00 | DEBUG   | Perception.context_builder     | CV[2] <-> Dump[com.google.android.apps.nexuslauncher:id/icon] 匹配成功, IoU=0.340
2026-03-18 16:43:00 | DEBUG   | Perception.context_builder     | CV[14] <-> Dump[com.google.android.apps.nexuslauncher:id/search_container_all_apps] 匹配成功, IoU=0.684
2026-03-18 16:43:00 | DEBUG   | Perception.context_builder     | CV[15] <-> Dump[com.google.android.apps.nexuslauncher:id/icon] 匹配成功, IoU=0.388
2026-03-18 16:43:00 | DEBUG   | Perception.context_builder     | CV[16] <-> Dump[com.google.android.apps.nexuslauncher:id/icon] 匹配成功, IoU=0.327
2026-03-18 16:43:00 | DEBUG   | Perception.context_builder     | CV[18] <-> Dump[com.google.android.apps.nexuslauncher:id/icon] 匹配成功, IoU=0.380
